timestamp,region,time_ms,mem_before_mb,mem_after_mb,mem_delta_mb,peak_mb
2026-02-10T09:52:29.390172,hess_contract_Node1,0.67,720.73,745.12,24.39,765.12
2026-02-10T09:52:29.390752,compute_H_b_Node1,37.92,540.36,705.09,164.73,765.12
2026-02-10T09:52:29.391846,fuse_Node1,0.1,705.09,705.09,0.0,705.09
2026-02-10T09:52:29.392355,to_dense_Node1,0.08,705.09,705.09,0.0,705.09
2026-02-10T09:52:29.395023,solve_Node1,1.78,705.1,725.13,20.02,745.13
2026-02-10T09:52:29.446226,env_Node0,2.19,725.12,726.59,1.47,728.09
2026-02-10T09:52:29.447207,forward_Node0,0.32,726.59,726.59,0.0,726.6
2026-02-10T09:52:29.448528,loss_derivs_Node0,0.69,726.59,726.6,0.01,726.61
2026-02-10T09:52:29.449714,grad_contract_Node0,0.73,726.6,727.12,0.52,727.12
2026-02-10T09:52:29.450276,hess_tn_build_Node0,0.1,727.12,727.12,0.0,727.12
2026-02-10T09:52:29.451029,hess_contract_Node0,0.31,727.12,727.77,0.65,728.28
2026-02-10T09:52:29.452402,env_Node0,0.89,727.77,729.24,1.47,730.74
2026-02-10T09:52:29.453138,forward_Node0,0.26,729.24,729.24,0.0,729.25
2026-02-10T09:52:29.454315,loss_derivs_Node0,0.71,729.24,729.25,0.01,729.26
2026-02-10T09:52:29.455053,grad_contract_Node0,0.27,729.25,729.77,0.52,729.77
2026-02-10T09:52:29.455997,hess_tn_build_Node0,0.09,729.77,729.77,0.0,729.77
2026-02-10T09:52:29.456730,hess_contract_Node0,0.31,729.77,730.42,0.65,730.93
2026-02-10T09:52:29.458210,env_Node0,0.89,730.42,731.89,1.47,733.39
2026-02-10T09:52:29.458914,forward_Node0,0.25,731.89,731.89,0.0,731.9
2026-02-10T09:52:29.460076,loss_derivs_Node0,0.71,731.89,731.9,0.01,731.91
2026-02-10T09:52:29.460778,grad_contract_Node0,0.27,731.9,732.42,0.52,732.42
2026-02-10T09:52:29.461702,hess_tn_build_Node0,0.09,732.42,732.42,0.0,732.42
2026-02-10T09:52:29.462448,hess_contract_Node0,0.31,732.42,733.07,0.65,733.58
2026-02-10T09:52:29.464070,env_Node0,1.04,732.93,734.4,1.47,735.91
2026-02-10T09:52:29.464776,forward_Node0,0.25,734.4,734.41,0.0,734.41
2026-02-10T09:52:29.465926,loss_derivs_Node0,0.71,734.41,734.42,0.01,734.43
2026-02-10T09:52:29.466640,grad_contract_Node0,0.27,734.42,734.93,0.52,734.94
2026-02-10T09:52:29.467186,hess_tn_build_Node0,0.09,734.93,734.93,0.0,734.93
2026-02-10T09:52:29.468334,hess_contract_Node0,0.32,734.93,735.58,0.65,736.1
2026-02-10T09:52:29.469794,env_Node0,0.87,735.45,736.92,1.47,738.42
2026-02-10T09:52:29.470506,forward_Node0,0.26,736.92,736.92,0.0,736.93
2026-02-10T09:52:29.471638,loss_derivs_Node0,0.7,736.92,736.93,0.01,736.94
2026-02-10T09:52:29.472345,grad_contract_Node0,0.28,736.93,737.45,0.52,737.45
2026-02-10T09:52:29.472873,hess_tn_build_Node0,0.08,737.45,737.45,0.0,737.45
