Task 4: Model=lmpo2_typei, Dataset=seoulBike
[2026-05-04 19:35:50,850][HYDRA] 	#16 : model.reduction_factor=0.3 model.L=3 model.bond_dim=12 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,018][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=12_rf0.3 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd12_seed10090_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5262126385656885) val=0.5262
[2026-05-04 19:35:51,020][HYDRA] 	#17 : model.reduction_factor=0.3 model.L=3 model.bond_dim=12 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,199][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=12_rf0.3 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd12_seed32874_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5237615515925012) val=0.5238
[2026-05-04 19:35:51,204][HYDRA] 	#18 : model.reduction_factor=0.3 model.L=3 model.bond_dim=12 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,374][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=12_rf0.3 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd12_seed47311_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5318681357801882) val=0.5319
[2026-05-04 19:35:51,377][HYDRA] 	#19 : model.reduction_factor=0.3 model.L=3 model.bond_dim=12 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,547][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=12_rf0.3 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd12_seed47303_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5378038660623632) val=0.5378
[2026-05-04 19:35:51,550][HYDRA] 	#20 : model.reduction_factor=0.3 model.L=3 model.bond_dim=8 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,717][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=8_rf0.3 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd8_seed42_rf0.3_bondmpo1 | already completed successfully (val_quality=0.4481468807392754) val=0.4481
[2026-05-04 19:35:51,720][HYDRA] 	#21 : model.reduction_factor=0.3 model.L=3 model.bond_dim=8 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:51,890][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=8_rf0.3 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd8_seed10090_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5004899363708291) val=0.5005
[2026-05-04 19:35:51,893][HYDRA] 	#22 : model.reduction_factor=0.3 model.L=3 model.bond_dim=8 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:52,060][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=8_rf0.3 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd8_seed32874_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5199406174812374) val=0.5199
[2026-05-04 19:35:52,062][HYDRA] 	#23 : model.reduction_factor=0.3 model.L=3 model.bond_dim=8 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:52,233][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=8_rf0.3 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd8_seed47311_rf0.3_bondmpo1 | already completed successfully (val_quality=0.455974373064781) val=0.4560
[2026-05-04 19:35:52,235][HYDRA] 	#24 : model.reduction_factor=0.3 model.L=3 model.bond_dim=8 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:52,404][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=8_rf0.3 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd8_seed47303_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5114276347727831) val=0.5114
[2026-05-04 19:35:52,407][HYDRA] 	#25 : model.reduction_factor=0.3 model.L=3 model.bond_dim=4 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:52,781][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=4_rf0.3 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd4_seed42_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5071894368124714) val=0.5072
[2026-05-04 19:35:52,784][HYDRA] 	#26 : model.reduction_factor=0.3 model.L=3 model.bond_dim=4 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:52,949][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=4_rf0.3 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd4_seed10090_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5728936752318551) val=0.5729
[2026-05-04 19:35:52,951][HYDRA] 	#27 : model.reduction_factor=0.3 model.L=3 model.bond_dim=4 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:53,123][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=4_rf0.3 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd4_seed32874_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5603280964489109) val=0.5603
[2026-05-04 19:35:53,125][HYDRA] 	#28 : model.reduction_factor=0.3 model.L=3 model.bond_dim=4 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:53,298][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=4_rf0.3 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd4_seed47311_rf0.3_bondmpo1 | already completed successfully (val_quality=0.4488243164889959) val=0.4488
[2026-05-04 19:35:53,300][HYDRA] 	#29 : model.reduction_factor=0.3 model.L=3 model.bond_dim=4 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:53,467][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=4_rf0.3 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd4_seed47303_rf0.3_bondmpo1 | already completed successfully (val_quality=0.4397288649521458) val=0.4397
[2026-05-04 19:35:53,469][HYDRA] 	#30 : model.reduction_factor=0.5 model.L=4 model.bond_dim=12 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:53,639][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=12_rf0.5 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd12_seed42_rf0.5_bondmpo1 | already completed successfully (val_quality=0.6855732764215221) val=0.6856
[2026-05-04 19:35:53,642][HYDRA] 	#31 : model.reduction_factor=0.5 model.L=4 model.bond_dim=12 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
